ts,open,high,low,close,volume,sma_50
2026-04-21 00:00:00+00:00,7150.75,7183.0,7085.0,7100.0,1819102.0,6802.67259765625
2026-04-22 00:00:00+00:00,7125.0,7173.0,7121.25,7171.25,1185812.0,6806.43259765625
2026-04-23 00:00:00+00:00,7163.0,7181.5,7079.25,7143.5,1862446.0,6810.07259765625
2026-04-24 00:00:00+00:00,7143.0,7200.5,7135.5,7194.75,1463962.0,6814.75759765625
2026-04-27 00:00:00+00:00,7185.0,7211.25,7171.5,7206.0,1085690.0,6821.85759765625
2026-04-28 00:00:00+00:00,7204.75,7223.25,7146.25,7171.0,1361467.0,6828.26759765625
2026-04-29 00:00:00+00:00,7172.5,7190.75,7131.25,7168.0,1368362.0,6834.41759765625
2026-04-30 00:00:00+00:00,7150.0,7253.5,7133.75,7243.75,1732392.0,6841.40759765625
2026-05-01 00:00:00+00:00,7256.0,7300.75,7240.75,7258.0,1263615.0,6849.02759765625
2026-05-04 00:00:00+00:00,7276.25,7279.75,7199.5,7230.25,1581015.0,6855.16759765625
2026-05-05 00:00:00+00:00,7228.75,7304.25,7223.75,7287.25,1115385.0,6863.88259765625
2026-05-06 00:00:00+00:00,7300.5,7395.75,7293.5,7389.5,1631260.0,6873.59759765625
2026-05-07 00:00:00+00:00,7380.5,7410.5,7345.5,7363.0,1753384.0,6881.66259765625
2026-05-08 00:00:00+00:00,7340.0,7427.75,7336.25,7419.0,1312034.0,6891.64259765625
2026-05-11 00:00:00+00:00,7403.5,7454.75,7390.5,7436.75,1233354.0,6902.59759765625
2026-05-12 00:00:00+00:00,7435.5,7443.75,7363.25,7426.5,1625151.0,6913.36259765625
2026-05-13 00:00:00+00:00,7419.25,7483.75,7399.0,7469.5,1301334.0,6926.25759765625
2026-05-14 00:00:00+00:00,7477.5,7540.0,7471.0,7525.5,1371818.0,6939.24759765625
2026-05-15 00:00:00+00:00,7522.25,7528.25,7409.25,7432.25,1371818.0,6951.18759765625
2026-05-18 00:00:00+00:00,7410.0,7454.25,7373.5,7425.75,1983487.0,6964.82759765625
2026-05-19 00:00:00+00:00,7423.5,7440.75,7354.25,7378.0,1804940.0,6976.36759765625
2026-05-20 00:00:00+00:00,7377.0,7458.0,7356.0,7451.75,1585626.0,6989.65759765625
2026-05-21 00:00:00+00:00,7432.75,7486.75,7407.5,7466.0,1738205.0,7003.38759765625
2026-05-22 00:00:00+00:00,7467.0,7524.0,7466.75,7491.0,1738205.0,7019.65759765625
